Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDUyNDY4MzMyNzY1NDoxNjk3NTIxMDQ5OnNwX2F0Zl9uZXh0OjIwMDYzNzgyNDMyMDk4OjowOjo&url=%2FBackpack-Business-Water-resistant-Anti-theft-Charging%2Fdp%2FB0B6FLWDW9%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697521049%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Arctic Hunter Backpack for Men Stylish 15.6-inch Laptop Bag Shockproof PU Coating Water-resistant Anti-theft 25L Padded Backpack for Office College and Daily Use,Black","3,599",4.9 out of 5 stars,17
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1697521049&sprefix=ba%2Caps%2C283&sr=8-19,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",639,4.1 out of 5 stars,"6,647"
https://www.amazon.in/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1697521049&sprefix=ba%2Caps%2C283&sr=8-20,Half Moon Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,549,3.7 out of 5 stars,163
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1697521049&sprefix=ba%2Caps%2C283&sr=8-21,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L, Charcoal black",499,4.3 out of 5 stars,"13,211"
https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1697521049&sprefix=ba%2Caps%2C283&sr=8-22,ADISA 31 Ltrs Casual Backpack School College Bag Pack,349,4.0 out of 5 stars,347
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1697521049&sprefix=ba%2Caps%2C283&sr=8-23,ADISA 32L large laptop backpack office bag college travel back pack with rain cover,549,3.8 out of 5 stars,436
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0519/dp/B07G4JQX2F/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1697521049&sprefix=ba%2Caps%2C283&sr=8-24,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Navy-Tan),990,4.4 out of 5 stars,"6,794"
https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1697521049&sprefix=ba%2Caps%2C283&sr=8-25,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,429,3.5 out of 5 stars,142
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1697521049&sprefix=ba%2Caps%2C283&sr=8-26,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown,798,4.4 out of 5 stars,"6,237"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDUyNDY4MzMyNzY1NDoxNjk3NTIxMDQ5OnNwX210ZjozMDAwMTQ5MzE0ODQ3MzI6OjA6Og&url=%2FSTRABO-Defender-Laptop-weight-resistant%2Fdp%2FB0C9H8W6K6%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697521049%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"STRABO Defender Laptop Bag, Light weight & Water resistant - Color Olive 35L, Unisex Bag",999,4.5 out of 5 stars,25
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDUyNDY4MzMyNzY1NDoxNjk3NTIxMDQ5OnNwX210ZjozMDAwNjc4ODc0MTYyMzI6OjA6Og&url=%2FLaptops-College-Backpack-Charging-Anti-Theft%2Fdp%2FB0C6639P8P%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697521049%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Amazon Basics Laptop Bag for 15.6 Inch Laptops | College/Travel Backpack with USB Charging Port and Anti-Theft Pocket | 23 L,"1,009",4.4 out of 5 stars,138
https://www.amazon.in/gp/bestsellers/kitchen/6802467031/ref=sr_bs_12_6802467031_1,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium -(19 x 21 inches) - 30 bags/roll (Pack of 6, Black)",289,4.4 out of 5 stars,"35,877"
https://www.amazon.in/gp/bestsellers/luggage/2917507031/ref=sr_bs_13_2917507031_1,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),365,4.3 out of 5 stars,"8,401"
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1697521049&sprefix=ba%2Caps%2C283&sr=8-31,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Blue,999,4.2 out of 5 stars,917
https://www.amazon.in/American-Tourister-AMT-SCH-BAG02/dp/B07CGLDV2C/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1697521049&sprefix=ba%2Caps%2C283&sr=8-32,American Tourister Casual Backpack,949,4.2 out of 5 stars,"4,179"
https://www.amazon.in/gp/bestsellers/kitchen/1380564031/ref=sr_bs_16_1380564031_1,"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag For Clothes (54 x 46 x 28 cm) - Black, Rectangular",559,4.4 out of 5 stars,"18,114"
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1697521049&sprefix=ba%2Caps%2C283&sr=8-34,"WildHorn 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",599,4.1 out of 5 stars,"1,967"
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1697521049&sprefix=ba%2Caps%2C283&sr=8-35,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",699,3.8 out of 5 stars,"3,446"
https://www.amazon.in/Genie-Ltrs-School-Backpack-CAMELLIA17SBPIN/dp/B07QHMKHWH/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1697521049&sprefix=ba%2Caps%2C283&sr=8-36,"Genie Camellia School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls",799,4.2 out of 5 stars,"3,733"
